Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
,12/08/2025 09:50,12/08/2025 10:10,XAUUSD,Sell,0.350,0.00000,0.00000,4206.91000,4212.53000,-562.0,-0.89,"",0,00:00:19:38,,,,,,,,,,,,
,12/08/2025 08:34,12/08/2025 09:06,XAUUSD,Buy,0.350,0.00000,0.00000,4218.93000,4213.01000,-592.0,-0.93,"",0,00:00:32:11,,,,,,,,,,,,
,12/08/2025 07:58,12/08/2025 08:06,XAUUSD,Buy,0.350,0.00000,0.00000,4216.59000,4216.54000,-5.0,-0.01,"",0,00:00:07:40,,,,,,,,,,,,
,12/05/2025 15:00,12/05/2025 15:02,XAUUSD,Buy,0.150,0.00000,0.00000,4231.63000,4225.43000,-620.0,-0.42,"",0,00:00:02:11,,,,,,,,,,,,
,12/04/2025 14:34,12/04/2025 14:44,XAUUSD,Sell,0.500,0.00000,0.00000,4191.03000,4192.75000,-172.0,-0.38,"",0,00:00:10:29,,,,,,,,,,,,
,12/04/2025 13:09,12/04/2025 13:21,XAUUSD,Buy,0.350,0.00000,0.00000,4203.50000,4201.04000,-246.0,-0.38,"",0,00:00:12:44,,,,,,,,,,,,
,12/04/2025 11:47,12/04/2025 12:03,XAUUSD,Buy,0.500,0.00000,0.00000,4197.92000,4199.95000,203.0,0.45,"",0,00:00:16:18,,,,,,,,,,,,
,12/04/2025 10:59,12/04/2025 11:29,XAUUSD,Sell,0.500,0.00000,0.00000,4185.23000,4191.05000,-582.0,-1.28,"",0,00:00:29:40,,,,,,,,,,,,
,12/03/2025 13:31,12/03/2025 13:56,XAUUSD,Buy,0.350,0.00000,0.00000,4207.18000,4206.55000,-63.0,-0.10,"",0,00:00:24:45,,,,,,,,,,,,
,12/03/2025 09:32,12/03/2025 10:01,XAUUSD,Sell,0.350,0.00000,0.00000,4202.11000,4208.11000,-600.0,-0.92,"",0,00:00:29:12,,,,,,,,,,,,
,12/02/2025 13:55,12/02/2025 14:02,XAUUSD,Buy,0.350,0.00000,0.00000,4204.48000,4204.87000,39.0,0.06,"",0,00:00:06:45,,,,,,,,,,,,
,12/02/2025 11:11,12/02/2025 11:21,XAUUSD,Sell,0.350,0.00000,0.00000,4205.33000,4201.24000,409.0,0.63,"",0,00:00:09:24,,,,,,,,,,,,
,12/02/2025 08:36,12/02/2025 08:48,XAUUSD,Sell,0.350,0.00000,0.00000,4203.52000,4211.10000,-758.0,-1.16,"",0,00:00:11:49,,,,,,,,,,,,
,12/01/2025 10:00,12/01/2025 10:10,XAUUSD,Buy,0.350,0.00000,0.00000,4246.59000,4250.70000,411.0,0.63,"",0,00:00:09:57,,,,,,,,,,,,
,11/27/2025 18:25,11/27/2025 18:48,XAUUSD,Sell,0.150,0.00000,0.00000,4152.58000,4155.93000,-335.0,-0.22,"",0,00:00:22:48,,,,,,,,,,,,
,11/27/2025 17:29,11/27/2025 17:35,XAUUSD,Buy,0.150,0.00000,0.00000,4161.70000,4158.75000,-295.0,-0.19,"",0,00:00:06:29,,,,,,,,,,,,
,11/27/2025 13:40,11/27/2025 13:57,XAUUSD,Buy,0.350,0.00000,0.00000,4162.27000,4157.83000,-444.0,-0.68,"",0,00:00:16:43,,,,,,,,,,,,
