Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
08/11/2021 03:58,08/11/2021 04:44,EURUSD,Buy,0.010,1.16812,1.17452,1.17132,1.17202,-0.0700,0.0000,7.0,0.63,0.53,7199174,00:00:45:38,,,,,,,,,,,,
08/10/2021 03:55,08/10/2021 07:27,EURCHF,Buy,0.010,1.07681,1.08321,1.08001,1.07978,-0.0700,0.0000,-2.3,-0.32,-0.27,7199174,00:03:31:55,0.0,0s,4.5,4.50,0.0,0.0,-4.5,-0.495,0.0,48.9,-2.30,-0.25
08/10/2021 03:59,08/10/2021 04:45,EURGBP,Buy,0.010,0.84422,0.85062,0.84742,0.84773,-0.0700,0.0000,3.1,0.36,0.30,7199174,00:00:45:21,,,,,,,,,,,,
08/06/2021 03:58,08/06/2021 05:58,USDCAD,Sell,0.010,1.25424,1.24784,1.25104,1.25069,-0.0700,0.0000,3.5,0.21,0.18,7199174,00:02:00:33,100.0,2h 0m,3.3,0.22,4.5,0.36,0.0,0.0,100.0,77.8,-1.00,-0.08
08/06/2021 03:56,08/06/2021 05:48,EURGBP,Sell,0.010,0.85284,0.84644,0.84964,0.84930,-0.0700,0.0000,3.4,0.40,0.34,7199174,00:01:52:04,,,,,,,,,,,,
08/05/2021 03:54,08/05/2021 10:00,EURUSD,Buy,0.010,1.18018,1.18658,1.18338,1.18402,-0.0700,0.0000,6.4,0.57,0.48,7199174,00:06:06:14,92.4,5h 38m,6.9,0.04,13.3,1.33,-0.5,-0.05,96.4,50.0,-6.90,-0.69
08/05/2021 03:57,08/05/2021 08:00,USDCAD,Buy,0.010,1.25081,1.25721,1.25401,1.25270,-0.0700,0.0000,-13.1,-1.12,-0.94,7199174,00:04:02:57,0.0,0s,15.2,15.22,0.0,0.0,-15.2,-1.216,0.0,13.8,-13.10,-1.05
08/05/2021 03:59,08/05/2021 04:25,GBPCAD,Buy,0.010,1.73846,1.74486,1.74166,1.74215,-0.0700,0.0000,4.9,0.32,0.27,7199174,00:00:26:46,,,,,,,,,,,,
08/04/2021 03:55,08/04/2021 09:55,EURCHF,Buy,0.010,1.06932,1.07572,1.07252,1.07312,-0.0700,0.0000,6.0,0.59,0.50,7199174,00:06:00:52,100.0,6h 0m,1.1,0.14,7.1,0.7809999999999999,0.0,0.0,100.0,84.5,-1.10,-0.12
08/04/2021 03:55,08/04/2021 04:46,GBPCHF,Buy,0.010,1.25384,1.26024,1.25704,1.25764,-0.0700,0.0000,6.0,0.59,0.50,7199174,00:00:51:19,96.2,49m,2.3,0.05,6.0,0.66,-0.3,-0.033,95.2,100.0,0.00,0.00
08/04/2021 03:55,08/04/2021 04:39,EURGBP,Sell,0.010,0.85640,0.85000,0.85320,0.85283,-0.0700,0.0000,3.7,0.45,0.38,7199174,00:00:44:06,97.8,43m,1.0,0.22,4.6,0.644,0.0,0.0,100.0,80.4,-0.90,-0.13
08/03/2021 03:55,08/03/2021 07:17,EURUSD,Buy,0.010,1.18391,1.19031,1.18711,1.18772,-0.0700,0.0000,6.1,0.54,0.46,7199174,00:03:22:23,72.8,2h 27m,6.0,0.44,6.1,0.61,-2.7,-0.27,69.3,100.0,0.00,0.00
08/03/2021 03:55,08/03/2021 04:08,GBPCAD,Buy,0.010,1.73286,1.73926,1.73606,1.73647,-0.0700,0.0000,4.1,0.26,0.22,7199174,00:00:13:04,71.5,9m,0.9,0.10,4.2,0.336,-0.4,-0.032,91.3,97.8,-0.10,-0.01
07/30/2021 03:54,07/30/2021 09:00,EURUSD,Buy,0.010,1.18501,1.19141,1.18821,1.18810,-0.0700,0.0000,-1.1,-0.18,-0.15,7199174,00:05:05:30,15.1,46m,9.0,3.09,2.2,0.22000000000000003,-6.8,-0.68,24.4,63.3,-3.30,-0.33
07/30/2021 03:55,07/30/2021 08:15,EURCHF,Buy,0.010,1.07367,1.08007,1.07687,1.07746,-0.0700,0.0000,5.9,0.58,0.50,7199174,00:04:20:08,98.9,4h 17m,3.9,0.10,6.1,0.6709999999999999,-0.6,-0.066,91.0,97.0,-0.20,-0.02
07/30/2021 03:55,07/30/2021 05:31,USDCAD,Sell,0.010,1.24957,1.24317,1.24637,1.24557,-0.0700,0.0000,8.0,0.57,0.49,7199174,00:01:36:27,29.9,28m,11.3,0.87,9.3,0.7440000000000001,-8.1,-0.648,53.4,92.5,-1.30,-0.10
07/29/2021 03:55,07/29/2021 05:38,EURCHF,Buy,0.010,1.07419,1.08059,1.07739,1.07800,-0.0700,0.0000,6.1,0.60,0.52,7199174,00:01:43:34,100.0,1h 43m,3.1,0.16,6.3,0.693,0.0,0.0,100.0,96.8,-0.20,-0.02
07/29/2021 03:54,07/29/2021 04:37,EURUSD,Buy,0.010,1.18093,1.18733,1.18413,1.18473,-0.0700,0.0000,6.0,0.53,0.46,7199174,00:00:42:20,100.0,42m,2.8,0.16,6.2,0.6200000000000001,0.0,0.0,100.0,96.8,-0.20,-0.02
07/28/2021 03:55,07/28/2021 04:41,EURUSD,Buy,0.010,1.17814,1.18454,1.18134,1.18220,-0.0700,0.0000,8.6,0.79,0.70,7199174,00:00:46:07,97.9,45m,2.0,0.01,8.6,0.86,-0.1,-0.010000000000000002,98.9,100.0,0.00,0.00
07/23/2021 03:56,07/23/2021 06:34,EURGBP,Sell,0.010,0.85832,0.85192,0.85512,0.85525,-0.0700,0.0000,-1.3,-0.25,-0.22,7199174,00:02:37:44,3.2,5m,7.6,4.07,1.5,0.21000000000000002,-6.1,-0.854,19.7,63.2,-2.80,-0.39
07/22/2021 03:56,07/22/2021 05:31,USDCAD,Sell,0.010,1.26121,1.25481,1.25801,1.25742,-0.0700,0.0000,5.9,0.40,0.35,7199174,00:01:34:13,59.0,55m,4.9,0.62,6.8,0.544,-4.2,-0.336,61.8,91.8,-0.90,-0.07
07/21/2021 03:55,07/21/2021 04:18,GBPCAD,Sell,0.010,1.73295,1.72655,1.72975,1.72865,-0.0700,0.0000,11.0,0.80,0.71,7199174,00:00:23:57,100.0,23m,2.6,0.07,13.6,1.088,0.0,0.0,100.0,80.9,-2.60,-0.21
07/16/2021 03:55,07/16/2021 08:28,GBPCHF,Sell,0.010,1.27319,1.26679,1.26999,1.27042,-0.0700,0.0000,-4.3,-0.54,-0.48,7199174,00:04:33:02,5.6,15m,11.1,8.25,1.2,0.132,-9.9,-1.089,10.8,50.5,-5.50,-0.60
07/16/2021 03:55,07/16/2021 07:52,EURCHF,Sell,0.010,1.08765,1.08125,1.08445,1.08464,-0.0700,0.0000,-1.9,-0.28,-0.25,7199174,00:03:57:51,6.3,14m,5.0,9.00,0.5,0.055,-4.5,-0.495,10.0,52.0,-2.40,-0.26
