Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USD),Min(pips),Min(USD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USD)
02/24/2026 00:06,,,Deposit,0.000,0.00000,0.00000,0.00000,0.00000,0.0,0,0,00:00:00:00,,,,,,,,,,,,
02/23/2026 15:45,02/23/2026 16:58,XAUUSD,Buy,0.010,5190.00000,0.00000,5150.71000,5190.00000,3929.0,2.68,7864234,00:01:13:29,1.4,1m,0.0,0.00,3929.0,,0.0,,100.0,100.0,0.00,
02/20/2026 15:37,02/20/2026 17:03,XAUUSD,Buy,0.010,5025.80000,0.00000,5024.80000,5020.84000,-396.0,-0.27,7864234,00:01:26:18,98.9,1h 25m,4924.0,0.09,4528.0,,-396.0,,92.0,0.0,-4924.00,
02/19/2026 14:03,02/19/2026 19:57,XAUUSD,Buy,0.010,4985.39000,0.00000,4984.39000,4985.31000,92.0,0.06,7864234,00:05:54:27,75.8,4h 28m,4629.0,0.31,3775.0,,-1156.0,,76.6,25.3,-3683.00,
02/19/2026 16:11,02/19/2026 17:09,XAUUSD,Buy,0.010,0.00000,0.00000,4977.32000,5005.94000,2862.0,1.99,0,00:00:58:11,100.0,58m,1490.0,0.00,3022.0,,0.0,,100.0,94.7,-160.00,
02/19/2026 15:46,02/19/2026 16:34,XAUUSD,Buy,0.010,4970.60000,0.00000,4992.44000,4968.17000,-2427.0,-1.66,7864234,00:00:47:56,98.0,46m,4689.0,1.07,2262.0,,-2427.0,,48.2,0.0,-4689.00,
02/18/2026 15:23,02/19/2026 08:52,XAUUSD,Buy,0.010,0.00000,0.00000,4954.89000,5018.35000,6346.0,4.36,7864234,00:17:28:34,100.0,17h 28m,4396.0,0.00,6598.0,,0.0,,100.0,96.2,-252.00,
02/18/2026 03:22,02/18/2026 16:21,EURUSD,Sell,0.010,0.00000,1.18200,1.18428,1.18200,22.8,0.16,0,00:12:58:18,77.0,9h 59m,16.6,0.11,28.8,,-3.1,,90.3,81.2,-6.00,
02/17/2026 13:53,02/17/2026 15:56,XAUUSD,Buy,0.010,4906.16000,0.00000,4926.68000,4905.33000,-2135.0,-1.51,7864234,00:02:03:07,0.0,0s,7474.0,10000.00,0.0,,-7474.0,,0.0,71.4,-2135.00,
02/17/2026 15:36,02/17/2026 15:53,XAUUSD,Buy,0.020,4910.00000,0.00000,4913.47000,4910.00000,-347.0,-0.49,0,00:00:17:00,0.0,0s,4979.0,5000.00,0.0,,-4979.0,,0.0,93.0,-347.00,
02/16/2026 09:23,02/17/2026 11:53,EURGBP,Buy,0.040,0.00000,0.00000,0.86976,0.87176,20.0,0.72,7864234,01:02:30:25,38.4,10h 10m,20.8,0.48,31.5,,-15.0,,67.7,75.3,-11.50,
02/16/2026 11:32,02/16/2026 15:46,XAUUSD,Buy,0.010,4992.61000,0.00000,5011.88000,4992.49000,-1939.0,-1.35,7864234,00:04:14:12,0.0,0s,2201.0,2500.00,0.0,,-2201.0,,0.0,11.9,-1939.00,
02/13/2026 15:27,02/13/2026 16:41,XAUUSD,Buy,0.010,4966.26000,0.00000,4965.26000,4966.41000,115.0,0.08,7864234,00:01:14:31,100.0,1h 14m,6500.0,0.00,6615.0,,0.0,,100.0,1.7,-6500.00,
02/13/2026 14:57,02/13/2026 16:41,XAUUSD,Buy,0.010,4971.65000,0.00000,4970.65000,4969.77000,-88.0,-0.06,7864234,00:01:44:42,99.1,1h 43m,6164.0,0.01,6076.0,,-88.0,,98.6,0.0,-6164.00,
02/09/2026 14:16,02/13/2026 00:59,EURGBP,Sell,0.010,0.87200,0.00000,0.87026,0.87201,-17.5,-0.16,7864234,03:10:42:31,22.8,18h 51m,35.1,1.85,17.6,,-32.5,,35.1,29.9,-35.10,
