Tags,Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(USC),Min(pips),Min(USC),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(USC)
,04/09/2025 16:13,04/09/2025 17:03,XAUUSD,Buy,3.240,0.00000,0.00000,3089.20000,3089.25000,0.0000,0.0000,5.0,14.90,0.00,"XAU ZC-01 HL 1",6543,00:00:49:25,46.0,22m,650.0,0.98,529.0,1576.42,-519.0,-1546.62,50.5,50.0,-524.00,-1561.52
,04/09/2025 13:44,04/09/2025 17:03,XAUUSD,Buy,4.320,0.00000,0.00000,3071.97000,3089.19000,0.0000,0.0000,1722.0,7435.58,0.86,"XAU ZC-01 HL 6",6549,00:03:18:26,89.0,2h 56m,1616.0,0.21,2252.0,9728.640000000001,-462.0,-1995.8400000000001,83.0,80.5,-530.00,-2289.60
,04/09/2025 13:07,04/09/2025 13:44,XAUUSD,Buy,4.290,0.00000,0.00000,3056.37000,3072.21000,0.0000,0.0000,1584.0,6797.93,0.79,"XAU ZC-01 HL 3",6546,00:00:36:56,94.6,34m,408.0,0.03,1992.0,8545.68,-60.0,-257.4,97.1,80.1,-408.00,-1750.32
,04/09/2025 13:35,04/09/2025 13:44,XAUUSD,Buy,3.220,0.00000,0.00000,3074.77000,3072.29000,0.0000,0.0000,-248.0,-797.28,-0.09,"XAU ZC-01 HL 6",6549,00:00:08:50,77.8,6m,400.0,1.63,152.0,487.92,-248.0,-796.08,38.0,0.0,-400.00,-1284.00
,04/09/2025 11:34,04/09/2025 12:31,XAUUSD,Buy,4.310,0.00000,0.00000,3058.78000,3048.64000,0.0000,0.0000,-1014.0,-4368.62,-0.51,"XAU ZC-01 Ranging lvl",6555,00:00:56:48,73.7,41m,2356.0,0.76,1342.0,5784.0199999999995,-1014.0,-4370.339999999999,57.0,0.0,-2356.00,-10154.36
,04/09/2025 07:16,04/09/2025 11:34,XAUUSD,Buy,4.270,0.00000,0.00000,3042.13000,3059.35000,0.0000,0.0000,1722.0,7355.08,0.86,"XAU ZC-01 HL 4",6547,00:04:17:36,84.5,3h 37m,1313.0,0.23,2182.0,9317.14,-509.0,-2173.43,81.1,82.9,-460.00,-1964.20
,04/09/2025 11:20,04/09/2025 11:34,XAUUSD,Buy,3.200,0.00000,0.00000,3057.24000,3059.18000,0.0000,0.0000,194.0,620.48,0.07,"XAU ZC-01 HL 3",6546,00:00:13:59,100.0,13m,523.0,0.00,671.0,2147.2000000000003,0.0,0.0,100.0,28.9,-477.00,-1526.40
,04/09/2025 06:38,04/09/2025 07:13,XAUUSD,Buy,4.230,0.00000,0.00000,3030.61000,3046.05000,0.0000,0.0000,1544.0,6529.01,0.77,"XAU ZC-01 HL 5",6548,00:00:35:00,88.6,31m,727.0,0.09,2093.0,8853.390000000001,-178.0,-752.94,92.2,75.8,-549.00,-2322.27
,04/09/2025 07:04,04/09/2025 07:13,XAUUSD,Buy,3.170,0.00000,0.00000,3042.62000,3046.23000,0.0000,0.0000,361.0,1142.79,0.13,"XAU ZC-01 HL 4",6547,00:00:09:09,88.9,8m,727.0,0.07,892.0,2827.64,-64.0,-202.88,93.3,44.5,-531.00,-1683.27
,04/09/2025 05:50,04/09/2025 06:38,XAUUSD,Buy,4.210,0.00000,0.00000,3018.01000,3030.40000,0.0000,0.0000,1239.0,5218.29,0.62,"XAU ZC-01 HL 10",6553,00:00:48:13,73.0,35m,532.0,0.15,1602.0,6744.42,-239.0,-1006.1899999999999,87.0,80.3,-363.00,-1528.23
